SMILES	odor
C1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C(=O)C	animal
C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O	medicinal
C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O	woody
C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O	faint
C1=C(NC=N1)CC(C(=O)O)N	fishy
C1=C(OC(=C1)C=O)CO	buttery
C1=C(OC(=C1)C=O)CO	caramel
C1=C(OC(=C1)C=O)CO	musty
C1=C(OC(=C1)C=O)CO	cardboard
C1=C(OC(=C1)C=O)CO	fatty
C1=C(OC(=C1)C=O)CO	wax
C1=C(OC(=C1)C=O)CO	chamomile
C1=CC(=C(C=C1C(=O)O)O)O	mild
C1=CC(=C(C=C1C(=O)O)O)O	phenolic
C1=CC(=C(C=C1C(=O)O)O)O	balsamic
C1=CC(=C(C=C1C=O)O)O	medicinal
C1=CC(=C(C=C1C=O)O)O	bitter
C1=CC(=C(C=C1C=O)O)O	almond
C1=CC(=C(C=C1C=O)O)O	dry
C1=CC(=C(C=C1C=O)O)O	bitter
C1=CC(=C(C=C1O)O)C(=O)O	phenolic
C1=CC(=CC(=C1)O)O	hawthorn
C1=CC(=CC(=C1)O)O	nutty
C1=CC(=CC(=C1)O)O	creamy
C1=CC(=CC(=C1)O)O	phenolic
C1=CC(=CC(=C1)O)O	musty
C1=CC(=CC(=C1)O)O	vanilla
C1=CC(=CC(=C1)O)O	characteristic
C1=CC(=CC=C1C(=O)O)O	phenolic
C1=CC(=CC=C1C(=O)O)O	nutty
C1=CC(=CC=C1C=CC(=O)O)O	balsamic
C1=CC(=CC=C1C=O)O	sweet
C1=CC(=CC=C1C=O)O	nutty
C1=CC(=CC=C1C=O)O	almond
C1=CC(=CC=C1C=O)O	balsamic
C1=CC(=CC=C1C=O)O	woody
C1=CC(=CC=C1C=O)O	vanilla
C1=CC(=CC=C1C=O)O	brown
C1=CC(=CC=C1C=O)O	honey
C1=CC(=CC=C1C=O)O	metallic
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	herbaceous
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	camphoraceous
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	balsamic
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O	woody
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O	sandal
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O	wood
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O	woody
C1=CC(=CC=C1CCN)O	phenolic
C1=CC(=CC=C1CCN)O	meaty
C1=CC(=CC=C1CCN)O	dirty
C1=CC(=CC=C1CCN)O	cooked
C1=CC(=CC=C1CCN)O	rubbery
C1=CC(=CC=C1CCN)O	mild
C1=CC(=CC=C1CCO)O	sweet
C1=CC(=CC=C1CCO)O	floral
C1=CC(=CC=C1CCO)O	fruity
C1=CC(=CC=C1Cl)Cl	characteristic
C1=CC(=CC=C1Cl)Cl	mothball
C1=CC(=CC=C1Cl)Cl	aromatic
C1=CC(=CC=C1Cl)Cl	penetrating
C1=CC(=CC=C1Cl)Cl	strong
C1=CC(=CC=C1CO)O	sweet
C1=CC(=CC=C1CO)O	fruity
C1=CC(=CC=C1CO)O	bitter
C1=CC(=CC=C1CO)O	almond
C1=CC(=CC=C1CO)O	coconut
C1=CC(=CC=C1CO)O	bitter
C1=CC(=O)OC=C1C(=O)O	woody
C1=CC=C(C(=C1)C(=O)O)O	phenolic
C1=CC=C(C(=C1)C(=O)O)O	faint
C1=CC=C(C(=C1)C(=O)O)O	nutty
C1=CC=C(C(=C1)C=O)O	pungent
C1=CC=C(C(=C1)C=O)O	phenolic
C1=CC=C(C(=C1)C=O)O	almond
C1=CC=C(C(=C1)C=O)O	spicy
C1=CC=C(C(=C1)C=O)O	medicinal
C1=CC=C(C(=C1)C=O)O	cinnamyl
C1=CC=C(C(=C1)C=O)O	wintergreen
C1=CC=C(C(=C1)C=O)O	cooling
C1=CC=C(C(=C1)C=O)O	bitter
C1=CC=C(C(=C1)C=O)O	irritating
C1=CC=C(C(=C1)O)Br	unpleasant
C1=CC=C(C(=C1)O)Br	medicinal
C1=CC=C(C(=C1)O)Cl	unpleasant
C1=CC=C(C(=C1)O)Cl	penetrating
C1=CC=C(C(=C1)O)Cl	characteristic
C1=CC=C(C(=C1)O)Cl	medicinal
C1=CC=C(C=C1)C#N	rancid
C1=CC=C(C=C1)C#N	almond
C1=CC=C(C=C1)C(=CC2=CC=CO2)C=O	warm
C1=CC=C(C=C1)C(=CC2=CC=CO2)C=O	spicy
C1=CC=C(C=C1)C(=O)C(O)O	vegetable
C1=CC=C(C=C1)C(=O)C(O)O	green
C1=CC=C(C=C1)C(=O)C(O)O	fatty
C1=CC=C(C=C1)C(=O)C(O)O	nutty
C1=CC=C(C=C1)C(=O)C(O)O	earthy
C1=CC=C(C=C1)C(=O)C(O)O	powdery
C1=CC=C(C=C1)C(=O)C(O)O	spicy
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2	apricot
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2	peach
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2	geranium
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2	sweet
